Phrase	Cognitive Distortion
If I can't give this my undivided attention and time, it won't work.	Polarized
Why bother if I can't be perfect?	Polarized
What's the point of trying if nothing is perfect?	Polarized
You’re either successful or you’re worthless	Polarized
You’re smart or you’re stupid	Polarized
Something is right or it’s wrong.	Polarized
I’m good at something or I’m bad at something.	Polarized
I missed one gym session, so I’ll give up on exercise for the week.	Polarized
If I can't get it right, then I can't be trusted with bigger projects. There's no way I can ask for a raise now. They might just keep me until they can hire someone else.	Polarized
I'm not fit to take care of this child. If I can't even get my kids to school on time, what kind of father am I?	Polarized
Who would allow themselves to live like this, after all the money spent on therapy, I couldn't even clean myself up.	Polarized
I make mistakes because I'm a bad person.	Polarized
My younger sister committed suicide because I didn't support her adequately, and as a result, I became a bad person.	Polarized
I don't see the point in going to the gym if I can't go every day. I would never reach my fitness goals anyway.	Polarized
If I can't eat clean all the time, I give up and eat M&M's.	Polarized
I gave up my dream of becoming a singer, because I saw no point in pursuing it if I couldn't be the best.	Polarized
There's no point in doing something if I can't do it perfectly.	Polarized
I missed one gym session, so I will stop exercising for this week.	Polarized
You were expecting to get a promotion this year because of your hard work. You believe you worked harder than the rest of your colleagues but you didn’t get the promotion. You feel resentment towards your colleague because you believe you should have been rewarded for your hard work.	Heaven's Reward Fallacy
I’ve done everything right. I studied. I worked sincerely. I avoided alchol. I didn’t smoke. I woke up early. I exercised. I stayed faithful to my partner. I practised my skills to ace an interview. So why don’t I have a good career and a faithful partner?	Heaven's Reward Fallacy
I cooked elaborated meals for my family and did endless baking and sewing. I drove my children to all their afterschool activities but never did anything nice for myself.	Heaven's Reward Fallacy
The house was immaculate. She carried on for years, all the while waiting for some kind of special reward or appreciation. It never came, and the kids left home and her husband she suspected had affairs. She became increasingly hostile and bitter. The problem was that while she was doing the ‘right thing’ she was physically and emotionally bankrupting herself. She had become bitter and no one wanted to be around her.	Heaven's Reward Fallacy
John started at a new company and in the first few months it was great as he learned the ropes. He always wanted to help and always took on other people’s responsibilities. Soon managers and colleagues relied on him for everything. He couldn’t say no, but thought that people really depended on him and he would get all the favours back. He worked every Christmas for fifteen years, never said no because: “what goes around comes around.” When he had worked twenty years and it came time for his daughter’s wedding the boss thought it would be ok to send him to a conference that day instead, without asking him. When his boss insisted, he go because he hadn’t used the right annual leave form, he got so angry that he exploded with rage and lost his job. The interns in the office joked and laughed that it was always the quiet nice ones that were secretly crazy.	Heaven's Reward Fallacy
I’m only worth what I do for others, on my own they wouldn’t need/want/love me	Heaven's Reward Fallacy
I am a bad employee and a failure unless I always help everyone, others will notice, and I’ll be successful	Heaven's Reward Fallacy
It is only fair that hardworking people achieve success.	Heaven's Reward Fallacy
I spent every weekend in the library studying. I didn't get much sleep at night. I was expecting good grades because I had worked very hard for this. Now I'm resentful because of my poor academic performance.	Heaven's Reward Fallacy
The house was spotless. I kept going for years, hoping for some kind of special recognition or reward. It never arrived, the kids left, and I suspected my husband of having affairs. I became more hostile and bitter.	Heaven's Reward Fallacy
What did I do to deserve this, why is life so unfair? I never killed anyone, and I never harmed anyone. Why am I being mistreated if I am a good person?	Heaven's Reward Fallacy
Why can't I find a decent job after all of these years of studying and working hard for my degree? I expect to be paid more than the average because I have spent the last several years working hard.	Heaven's Reward Fallacy
I'll be a failure and a bad person unless I show people that I'm a good person and help everyone.	Heaven's Reward Fallacy
I don't socialize with my friends. In fact, I don't have many friends. I spent my entire day studying in my room. I dislike watching television and playing on my phone. I go to class and then straight home. I don't have any hobbies, but you know what? I don't regret it because I know that all of my hard work will be rewarded one day.	Heaven's Reward Fallacy
I always pay attention to her and offer her my candid opinion and advice. If I am a good friend, I should be able to attract good people. But I always end up with people like her, bad friends who don't care about you and are only concerned with themselves. Despite the fact that I gave her everything, she still acted for her own good.	Heaven's Reward Fallacy
I don't understand how people who don't even have a degree and spend their days watching TV and traveling can have a successful career.	Heaven's Reward Fallacy
I've always wondered why bad things happen to good people.	Heaven's Reward Fallacy
I come to the conclusion that my efforts are futile and give up on doing something good.	Heaven's Reward Fallacy
I believe I am giving it my all, so the universe should reciprocate.	Heaven's Reward Fallacy
When my hard work or sacrifice does not pay off, I become angry and frustrated.	Heaven's Reward Fallacy
As if someone is keeping score, I expect my sacrifice and self-denial to pay off.	Heaven's Reward Fallacy
I worked extremely hard and still did not receive a promotion. I'm not sure why life is so unfair and difficult.	Heaven's Reward Fallacy
It seems unfair that talented people die at such a young age.	Heaven's Reward Fallacy
I spend the entire day studying and working hard for my grades in order to make my parents proud, but I still get chastised by my mother. She believes that studying is simple and does not value my education. I am not a good daughter in her eyes.	Heaven's Reward Fallacy
Every day after work, I go grocery shopping and try to help out at home as much as I can, despite my exhaustion. When I get home, my wife is always sitting on the sofa doing nothing, and she still has the audacity to complain about me. Despite my best efforts, she does not recognize my worth and does not appreciate my efforts.	Heaven's Reward Fallacy
When I finally find someone with whom I have a special connection, they always leave my life. It's as if life is telling me that I don't deserve to be happy, which is so unjust. This is not something I deserve.	Heaven's Reward Fallacy
I always make certain that people notice all of my good deeds and that I appear to be a very good person. I believe that if they do not notice, I will not be considered a good person and will not be rewarded.	Heaven's Reward Fallacy
I've been working out at home every day, but I still haven't reached my body goals. I thought that if I worked hard enough, I would be able to achieve my goals, and it's so unfair.	Heaven's Reward Fallacy
I bought all of their albums, attended all of their concerts, and even became a member of their fan club. I was expecting them to notice me and respond to my emails. I'm their biggest fan; why can't I get a response? I'm so unjust.	Heaven's Reward Fallacy
If I work hard to hide my stuttering, no one will ever make fun of me.	Heaven's Reward Fallacy
You were hoping to get a promotion this year because of your hard work. You believe that you worked harder than your other colleagues, but you didn't get the promotion. You feel resentful towards your coworkers because you believe you should be rewarded for your hard work.	Heaven's Reward Fallacy
I have done everything right. I studied. I worked sincerely. I avoid alcohol. I don't smoke. I get up early. I exercise. I remain faithful to my partner. I practiced my skills to get through the interview. So why don't I have a good career and a loyal partner?	Heaven's Reward Fallacy
John started working at a new company and within the first few months, he was excited as he learned the ropes. He was always eager to help and always took on the responsibilities of others. Before long, managers and colleagues were relying on him for everything. She couldn't say no, but thought that people depended on her so much and she would get all the favors back. She worked every Christmas for fifteen years, never saying no because: "What goes around, comes around." When he had worked for twenty years and it was time for his daughter's wedding, his boss thought it was okay to send him to the conference on that day, without asking him. When her boss insisted she go because she didn't use the right annual leave form, she became so angry that she exploded with rage and lost her job. The interns in the office joked and laughed that it's always the quiet nice person who is secretly crazy.	Heaven's Reward Fallacy
Every day after work, I went grocery shopping and tried to help out at home as much as I could, even though I was exhausted. When I got home, my wife always sat on the sofa doing nothing, and she still dared to complain about me. Despite my best efforts, she doesn't recognize my value and doesn't appreciate my efforts.	Heaven's Reward Fallacy
It seems unfair that talented people die at such a young age.	Heaven's Reward Fallacy
I will be a failure and a bad person unless I show people that I am a good person and help everyone.	Heaven's Reward Fallacy
I didn't socialize with my friends. In fact, I didn't have many friends. I spend my entire day studying in my room. I didn't like watching television and playing with my cell phone. I go to class and then go straight home. I had no hobbies, but you know what? I don't regret it because I know that all my hard work will be rewarded one day.	Heaven's Reward Fallacy
What have I done to deserve this, why is life so unfair? I have never killed anyone, and I have never hurt anyone. Why am I being persecuted if I'm a good person?	Heaven's Reward Fallacy
Why can't I get a decent job after years of studying and working hard for my degree? I expect to be paid more than average as I have spent the last few years working hard.	Heaven's Reward Fallacy
I spent every weekend in the library studying. I didn't sleep much at night. I expected good grades because I had worked so hard for this. Now I am upset because of my poor academic performance.	Heaven's Reward Fallacy
I believe I gave my all, so the universe should reciprocate.	Heaven's Reward Fallacy
It is only fair that people who work hard achieve success.	Heaven's Reward Fallacy
I concluded that my efforts were in vain and gave up on doing anything good.	Heaven's Reward Fallacy
I've always wondered why bad things happen to good people.	Heaven's Reward Fallacy
Sharon expects flowers or gifts every Friday from Tom because she saw her mother get this from her father. When she doesn’t get them, she feels anxious, hurt, rejected and angry. Tom has no idea, and continually walks every Friday night into firestorms of accusations of being uncaring and unloving.	Fallacy Of Fairness
If he loved me, he’d do the dishes	Fallacy Of Fairness
if he cared at all, he’d come home right after work.	Fallacy Of Fairness
Many of us today grew up being told that we could be whatever we wanted to be. Now when we don’t get praise in work or even if we get reprimanded this can go against that we would consider “fair”. It’s not fair for us to be criticised. We were supposed to be the success.	Fallacy Of Fairness
if they valued my work here, they’d get me a nicer desk.	Fallacy Of Fairness
Sarah got a promotion and I didn’t, that’s not fair!	Fallacy Of Fairness
Bad things happen to bad people so why I'm struggling?	Fallacy Of Fairness
Your doctor's office has a strict late policy, and even if you arrive late, you expect to be seen because you believe your situation is unique and it would be unfair for them not to acknowledge your extraordinary circumstances.	Fallacy Of Fairness
I believe I should be given a raise at work because everyone else has, and it would be fair.	Fallacy Of Fairness
They should at the very least wait for me for at least 5 minutes. Even though I was late, they should understand that it was not my fault; the subway was slow. It's unfair that I missed my train by only 5 minutes.	Fallacy Of Fairness
I don't understand why the teacher made me go to the final despite knowing how hard I worked for it and how much I struggle with the subject. He utterly failed me with a 49%.	Fallacy Of Fairness
Because of covid, I assumed that teachers would be more reliant on exams. The overall quality of online classes was poor, and they should recognize that not everyone has a favorable environment at home to concentrate and study. I still can't believe the exam was so difficult.	Fallacy Of Fairness
I believe it would be most equal and fair for me to be promoted because I have been with the company the longest and do a good enough job in comparison to other applicants.	Fallacy Of Fairness
It does not seem fair to me that the company does not promote internally. I believe I am a better fit for the manager position because I have been here for years and am therefore familiar with the company, and I have already demonstrated that I have a high capacity to develop my job.	Fallacy Of Fairness
Life should be fair and equal, and I should receive what I deserve.	Fallacy Of Fairness
You expect your partner coming home to massage your feet. It's only "fair" because you spent the entire afternoon preparing their dinner. They arrive, however, exhausted and only want to take a bath.	Fallacy Of Fairness
I expect my husband to pay attention to me and pay for all of my things because I cook all of the meals, keep the house clean, and care for the dogs, but he works all day and then eats and goes to bed. This is so unfair, and I feel isolated and mistreated.	Fallacy Of Fairness
I am aware that my husband works very hard and is exhausted when he gets home from work, but I also have a full-time job. It's terribly unfair that I got to handle all the cleaning by myself, therefore I don't understand why he can't just do his responsibilities.	Fallacy Of Fairness
I recently received a ticket for stopping the car for only five minutes to go to the shop before it closed. It's incredibly unfair that the police officer didn't immediately comprehend my situation since I was obviously hurried.	Fallacy Of Fairness
When I arrive home from work, I expect my wife and kids to welcome me with a lot of love because I work my heart off to support my family in any way I can, but they just don't care and they always ignore me and treat me unfairly.	Fallacy Of Fairness
It is unfair that the teacher penalized me for being late when he had no consideration for my adhd condition. He is indifferent about my difficulties.	Fallacy Of Fairness
Teachers, in my opinion, should give special consideration to students who suffer from anxiety. Obliging them to give presentations is tantamount to torturing them.	Fallacy Of Fairness
A nonsmoker gets cancer, whereas heavy smokers never get cancer.	Fallacy Of Fairness
Unprepared teenagers who do not want children become pregnant more easily than responsible adults who do want children.	Fallacy Of Fairness
It's unfair that they let any fan win simply because they pay more money when there are die-hard fans like me who support the band but never win a meet and greet.	Fallacy Of Fairness
I've been waiting in the TSA security line at the airport for 20 minutes when suddenly another line opens up right next to you. People who have recently approached the line are now entering security ahead of you. This is utterly unfair.	Fallacy Of Fairness
People who are losing in life must have done something to earn it.	Fallacy Of Fairness
Jennifer is now the captain, which is unfair.	Fallacy Of Fairness
I volunteer to assist a friend with an errand, but she is unavailable when I need to run one.	Fallacy Of Fairness
My boss would give me a raise if he valued me.	Fallacy Of Fairness
You don’t know what you’re talking about. I know that technique won’t help me.	Always Being Right
I don’t care how badly arguing with me makes you feel, I’m going to win this argument no matter what because I’m right.	Always Being Right
I’m right and you’re wrong Sandra just admit it!	Always Being Right
You argue with your sibling about how your parents have not been supportive enough. You're convinced this was always the case, whereas your sibling believes it changed depending on the situation. Because your sibling does not share your feelings, you become enraged and say things that irritate your sibling. You can tell they're getting frustrated, but you keep arguing to prove your point.	Always Being Right
It's more than just a difference of opinion; it's an intellectual battle that must be won at all costs.	Always Being Right
Two coworkers disagree on how one technical aspect of the project should be carried out. One person believes it should be done their way because it has always been done that way. The other, on the other hand, claims that there are industry-standard procedures that must be followed. The individual completely disregards these facts and argues their point to any extent.	Always Being Right
Who are you to tell me how I should educate my children?	Always Being Right
I'm not going to take this medicine, no matter what the doctor says, because I read on the internet that it's dangerous.	Always Being Right
I'd rather lose a friend than admit I'm wrong.	Always Being Right
You have no idea what you're talking about. That technique will not help me.	Always Being Right
You don't know what you're talking about. That technique won't help me.	Always Being Right
You and your sibling are arguing about how your parents have not been supportive enough. You believe this has always been the case, whereas your sibling believes it varies depending on the circumstances. You become enraged and say things that irritate your sibling because your sibling does not share your feelings. You can tell they're frustrated, but you continue to argue to prove your point.	Always Being Right
You and your sibling argue about how your parents are not supportive enough. You believe that this is always the case, whereas your sibling believes that it varies depending on the circumstances. You get angry and say things that upset your sibling because your sibling doesn't share the same feelings as you. You can tell that they are frustrated, but you keep arguing to prove your point.	Always Being Right
This is more than just a difference of opinion; it is an intellectual battle that must be won at all costs.	Always Being Right
Two coworkers disagree on how to carry out one technical aspect of the project. One person believes it should be done their way because that is how it has always been done. The other, on the other hand, contends that industry-standard procedures must be followed. The individual completely ignores these facts and argues their point to the best of their ability.	Always Being Right
Two coworkers disagree on how to execute one technical aspect of the project. One person believes that it should be done their way because that is how it has always been done. The other, on the other hand, is of the opinion that industry standard procedures should be followed. The individuals completely ignore these facts and put forward their opinions to the best of their abilities.	Always Being Right
Who are you to tell me how to raise my children?	Always Being Right
Regardless of what the doctor says, I'm not going to take this medicine because I read on the internet that it's dangerous.	Always Being Right
Regardless of what the doctor said, I would not take this medication because I read on the internet that it was dangerous.	Always Being Right
I'd rather lose a friend than admit I was mistaken.	Always Being Right
No one is going to listen to me because of my stuttering.	Control Fallacies
The bad economy means there is no point in trying to find a job.	Control Fallacies
I’m too old to try dating, nobody will want me.	Control Fallacies
There’s no point in trying.	Control Fallacies
The men who robbed me made me feel I can’t leave the house.	Control Fallacies
I can’t control ANY of this! I feel so stuck!	Control Fallacies
What hope do I have to change.	Control Fallacies
This is all my fault! I should have done something more!	Control Fallacies
I can’t help that I was late, I slept through my alarm	Control Fallacies
Why are you unhappy? Is it something I did?	Control Fallacies
I'm sorry if my stuttering bothers you.	Control Fallacies
Of course, I couldn't finish it! My boss is overworking me, and the office was extremely noisy today. Who can accomplish anything like that?	Control Fallacies
My sister's mood is dependent on me; I must pay attention to her so that she does not feel isolated.	Control Fallacies
I have no control over ANY of this! I'm so stuck!	Control Fallacies
It's all my fault! I really should have done more!	Control Fallacies
I feel like a failure because I can't even cheer up my depressed husband's spirits.	Control Fallacies
I blame my boss for my poor performance; how can I work well under such extreme stress?	Control Fallacies
Everything is up to me; I am in charge of everything that happens to me.	Control Fallacies
I have no control over anything in my surroundings.	Control Fallacies
My partner left me because I cheated and lied to her. I had no say in what happened.	Control Fallacies
A coworker made a technical error on a work task. This error had serious consequences for other tasks. I feel guilty and responsible because I overlooked the error when reviewing their work.	Control Fallacies
I get a flat tire and believe that the universe is conspiring against me.	Control Fallacies
I exhaust myself by attempting to please and/or fix others, only to make myself miserable.	Control Fallacies
Nobody understands that I have a severe drug addiction and that I have no control over my unfortunate situation. My life will never be the same again, no matter how hard I try.	Control Fallacies
I lost a lot of money in the stock market in one day and I'm blaming myself.	Control Fallacies
I should not have left my house alone when I was a child; my mother would still be here. Because of me, she was hit by a car.	Control Fallacies
I'm not to blame for not arriving on time; the train was moving at an excruciatingly slow pace.	Control Fallacies
Stop making me feel sorry for myself!	Control Fallacies
No one would listen to me because of my stuttering.	Control Fallacies
A bad economy means there is no point in trying to find a job.	Control Fallacies
The people who robbed me made me feel like I couldn't leave the house.	Control Fallacies
Everything is up to me; I am responsible for everything that happens to me.	Control Fallacies
I apologize if my stuttering bothered you.	Control Fallacies
It's all my fault! I should have done more things!	Control Fallacies
I felt like a failure because I couldn't even lift my depressed husband's spirits.	Control Fallacies
I can't control ANY of this! I feel so trapped!	Control Fallacies
My partner left me because I cheated and lied to her. I had no part in what happened.	Control Fallacies
My sister's mood depends on me; I have to pay attention to her so that she doesn't feel isolated.	Control Fallacies
What expectations do I have to change.	Control Fallacies
Everything is up to me; I am responsible for everything that happens to me.	Control Fallacies
I got a flat tire and believed that the universe was conspiring against me.	Control Fallacies
Anna blamed herself for her daughter's bad grade in school. Instead of trying to find out why her daughter is struggling and exploring ways to help, Anna assumes it is a sign that she is a bad mother.	Personalization
If he had been ready to leave on time, I wouldn’t have eaten that extra donut and my stomach wouldn’t be hurting.	Personalization
I just had to write him up for insubordination. I didn’t train him well enough.	Personalization
My coworker is upset about not getting the project. I wouldn’t have tried so hard to get it myself if I had known he wanted it so bad.	Personalization
I totally ruined our company’s chances of getting the contract during our team presentation.	Personalization
My lab partner overslept and missed class so now we have both failed our team assignment. It is completely my fault because I didn’t call to make sure she was up.	Personalization
My partner has a health condition but isn't following his doctor's treatment recommendations, and I feel guilty for not doing enough to help when his health deteriorates.	Personalization
When I walk into the break room at work, everyone stops talking, and I begin to suspect that everyone is gossiping about me behind my back.	Personalization
This is entirely my fault. They wouldn't have been hurt if I hadn't let little Jimmy go to school today. I can't deal with this; I need to screw up.	Personalization
My neighbor mentioned that they don't let their children play outside after dark. This strikes me as a direct attack on the way I raise my children.	Personalization
Anna blamed herself for her daughter's poor grades at school. Instead of trying to figure out why her daughter was struggling and finding ways to help, Anna took it as a sign that she was a bad mom.	Personalization
Had he been ready to leave on time, I wouldn't have eaten that extra doughnut and my stomach wouldn't have hurt.	Personalization
My coworker was upset about not getting the project. I wouldn't have tried so hard to get it myself if I knew she wanted it so badly.	Personalization
My lab partner overslept and missed class, so now we both failed our team assignment. This is entirely my fault because I didn't call to make sure he was awake.	Personalization
My partner had a health condition but didn't follow his doctor's treatment recommendations, and I felt guilty for not doing enough to help when his health deteriorated.	Personalization
When I walked into the break room at work, everyone stopped talking, and I began to suspect that everyone was gossiping about me behind my back.	Personalization
This is entirely my fault. They wouldn't have gotten hurt if I hadn't let little Jimmy go to school today. I can't face this; I have to screw it up.	Personalization
This is my fault; if I had looked after my sister, she would have gone missing.	Personalization
People must be mocking me because of my humiliating fall.	Personalization
I feel bad because my sister doesn't take care of herself, and I feel guilty because I don't think I'm doing enough to make her realize she needs to be more aware of her health problems.	Personalization
My father missed his flight because he did not renew his passport. This is entirely my fault because I failed to remind him.	Personalization
I felt bad that my sister wasn't taking care of herself, and I felt guilty because I don't think I did enough to make her realize that she needed to be more aware of her health issues.	Personalization
People must have mocked me for my embarrassing fall.	Personalization
She wouldn't be dead if she hadn't been so annoying while I was driving.	Personalization
If she stopped being so annoying while I was driving she wouldn't be dead now.	Personalization
My friend said she wouldn't talk behind people's backs, so she must be referring to me.	Personalization
I'm sorry because my mother missed her deadline because I didn't assist her.	Personalization
Why do I always hit every red light?	Overgeneralization
Why does everyone walk so slowly?	Overgeneralization
if a person once sees a dog being loud and aggressive, they might assume that all dogs are equally as dangerous and decides to avoid them all.	Overgeneralization
If you go on one date with a man and he turns out to be an awful and rude person, you might overgeneralize and conclude that all men are just as terrible.	Overgeneralization
It’s important to never let anyone down.	Overgeneralization
Nothing good ever happens to me	Overgeneralization
Other people should never let me down.	Overgeneralization
Everything is always terrible.	Overgeneralization
I'm always going to be stuck at home	Overgeneralization
I'm never going to get to see my family again	Overgeneralization
I'm always going to be alone and isolated	Overgeneralization
Things will never be like they were before.	Overgeneralization
I'm never going to be able to travel again.	Overgeneralization
The pandemic will last forever.	Overgeneralization
After attending a job interview and being told I didn't get the job, I conclude I'll never get a job and am depressed about my future.	Overgeneralization
I'm disgusted that my friend believes in a completely different ideology.	Overgeneralization
After spending five minutes learning to shoot a free throw and failing to make any baskets, I conclude basketball is too difficult and give up, believing it will always be this difficult.	Overgeneralization
After the first date, they stop responding to our texts, leading me to believe that I will never be asked on a second date. Furthermore, I believe I will never find love!	Overgeneralization
I had a really low math grade, so I must be hopeless at math in general.	Overgeneralization
I simply believe that I am not good at relationships because I have always had negative experiences.	Overgeneralization
When my husband arrived home this evening, he did not kiss me. Perhaps he no longer loves me.	Overgeneralization
I'm never good in social situations.	Overgeneralization
